Somite,Time (min)
4.050484985,-50.845484
5.047205153,-26.69418761
6.043925322,-1.648398755
7.040645491,22.50289764
8.013634227,46.65419404
9.034085828,72.59447535
10.030806,96.74577174
11.0512576,120.8970681
12.04797777,145.0483645
13.04469794,166.5161836
14.0414181,194.2454498
15.06186971,217.5022537
16.03485844,246.1260124
17.03157861,271.1718013
18.02829878,297.1120826
19.00128751,325.7358413
19.99800768,351.6761226
20.99472785,381.1943737
22.01517945,412.5016098
23.01189962,442.0198609
24.00861979,473.327097
25.02907139,503.7398406
26.00206013,533.2580918
27.02251173,564.5653278
27.99550047,599.4505337
28.99222063,633.4412472
29.9889408,676.3768852
31.0093924,714.840061
32.00611257,758.6701915
33.00283274,806.0782918
